locationId	city	country	province	address	longitude	latitude	postalCode	keys
LOC1263	Princeton	US	WV	111 Halls Ridge Rd	-81.039820000000006	37.365250000000003	24739	us/wv/princeton/111hallsridgerd/1889247348
LOC1264	Redding	US	CA	1640 Hilltop Dr	-122.357958999999	40.582695999999899	96002	us/ca/redding/1640hilltopdr/-1068322787
LOC1265	Rialto	US	CA	425 W Foothill Blvd	-117.3777	34.106270000000002	92376	us/ca/rialto/425wfoothillblvd/-472312514
LOC1266	McMinnville	US	OR	2535 NE Cumulus Ave	-123.16803	45.201799999999899	97128	us/or/mcminnville/2535necumulusave/1698637609
LOC1267	Medford	US	OR	1015 S Riverside Ave	-122.86261	42.316980000000001	97501	us/or/medford/1015sriversideave/1051971422
LOC1268	Medford	US	OR	2250 Biddle Rd	-122.8715	42.349800000000002	97504	us/or/medford/2250biddlerd/-517019714
LOC1269	Medina	US	OH	5021 Eastpointe Dr	-81.796520000000001	41.13805	44256	us/oh/medina/5021eastpointedr/-260002334
LOC1270	Miami Beach	US	FL	400 Ocean Drive	-80.132540000000006	25.773472000000002	33139	us/fl/miamibeach/400oceandrive/-1253855797
LOC1271	Miami Beach	US	FL	801 Collins Avenue	-80.131889999999899	25.778279999999899	33139	us/fl/miamibeach/801collinsavenue/-544378751
LOC1272	Middletown	US	CT	70 Main St	-72.64734	41.557502999999897	6457	us/ct/middletown/70mainst/-1781195645
LOC1273	Midland	US	TX	3828 W Wall St	-102.11606	31.977160000000001	79703	us/tx/midland/3828wwallst/750217590
LOC1274	Milton	US	FL	8837 Highway 87 S	-86.959890000000001	30.61252	32583	us/fl/milton/8837highway87s/1378298036
LOC1275	Minneapolis	US	MN	7800 2nd Ave S	-93.275490000000005	44.860750000000003	55420	us/mn/minneapolis/78002ndaves/-1215129804
LOC1276	Monroe	US	LA	1407 Martin Luther King Jr Dr	-92.082170000000005	32.49295	71202	us/la/monroe/1407martinlutherkingjrdr/-18038134
LOC1277	Morgantown	US	WV	2 Waterfront Pl	-79.963070000000002	39.6240799999999	26501	us/wv/morgantown/2waterfrontpl/1970667007
LOC1278	Morrilton	US	AR	1627 Petit Jean Mountain Rd	-92.894130000000004	35.13015	72110	us/ar/morrilton/1627petitjeanmountainrd/-1317861868
LOC1279	Mount Vernon	US	MO	1200 E Industrial Rd	-93.796660000000003	37.097700000000003	65712	us/mo/mountvernon/1200eindustrialrd/1358718442
LOC1280	Myrtle Beach	US	SC	1301 Withers Dr	-78.876857999999899	33.695808	29577	us/sc/myrtlebeach/1301withersdr/-990647710
LOC1281	Myrtle Beach	US	SC	2383 Coastal Grand Cir	-78.927971999999897	33.701745000000003	29577	us/sc/myrtlebeach/2383coastalgrandcir/-1201688657
LOC1282	Nashua	US	NH	2 Somerset Pkwy	-71.509771000000001	42.786206999999898	3063	us/nh/nashua/2somersetpkwy/1561342410
LOC1283	Nashville	US	TN	2410 Music Valley Dr	-86.696060000000003	36.218000000000004	37214	us/tn/nashville/2410musicvalleydr/132533836
LOC1284	New Hope	US	PA	28 W Bridge St	-74.952515000000005	40.364353000000001	18938	us/pa/newhope/28wbridgest/-42668756
LOC1285	New York	US	NY	29 E 29th St	-73.984788129999899	40.74455837		us/ny/newyork/29e29thst/-487898844
LOC1286	Newark	US	DE	1119 S College Ave	-75.748397999999895	39.650120000000001	19713	us/de/newark/1119scollegeave/-1880518873
LOC1287	Newburyport	US	MA	11 Brown Sq	-70.873690999999894	42.810971000000002	1950	us/ma/newburyport/11brownsq/1033017574
LOC1288	Norfolk	US	VA	4500 Hampton Blvd	-76.3021549999999	36.885024999999899	23508	us/va/norfolk/4500hamptonblvd/1417649158
LOC1289	North Dartmouth	US	MA	737 State Rd	-71.027169999999899	41.63823	2747	us/ma/northdartmouth/737staterd/-1824099281
LOC1290	North Las Vegas	US	NV	2852 E Craig Rd	-115.11024	36.241190000000003	89030	us/nv/northlasvegas/2852ecraigrd/166422543
LOC1291	Oceanside	US	CA	3708 Plaza Dr	-117.29553	33.182499999999898	92056	us/ca/oceanside/3708plazadr/-1068322787
LOC1292	Oklahoma City	US	OK	2001 S Meridian Ave	-97.602000000000004	35.445529999999899	73108	us/ok/oklahomacity/2001smeridianave/-966981738
LOC1293	Jackson	US	MO	225 Drury Ln	-89.643020000000007	37.4271999999999	63755	us/mo/jackson/225druryln/-1943913537
LOC1294	Jackson	US	TN	61 Casey Jones Ln	-88.856989999999897	35.66151	38305	us/tn/jackson/61caseyjonesln/-1669733049
LOC1295	Jacksonville	US	NC	601 N Marine Blvd	-77.416790000000006	34.760620000000003	28540	us/nc/jacksonville/601nmarineblvd/1084424427
LOC1296	Kansas City	US	MO	8200 N Church Rd	-94.461569999999895	39.240409999999898	64158	us/mo/kansascity/8200nchurchrd/-135869288
LOC1297	Kimberling City	US	MO	27 Schooner Creek Rd	-93.413539999999898	36.639380000000003	65686	us/mo/kimberlingcity/27schoonercreekrd/1106714570
LOC1298	Kingman	US	AZ	3100 E Andy Devine Ave	-114.013859999999	35.212969999999899	86401	us/az/kingman/3100eandydevineave/848302755
LOC1299	Kissimmee	US	FL	2951 High Point Blvd	-81.585449999999895	28.335657000000001	34747	us/fl/kissimmee/2951highpointblvd/15286901
